application_id,approval_id
A000001,AP046193
A000002,AP029507
A000003,AP034659
A000004,AP038664
A000005,AP022981
A000006,AP027014
A000007,AP000972
A000008,AP038236
A000009,AP037234
A000010,AP028260
A000011,AP026176
A000012,AP011976
A000013,AP004511
A000014,AP031392
A000015,AP029498
A000016,AP047418
A000017,AP041064
A000018,AP007098
A000019,AP038916
A000020,AP038161
A000021,AP036687
A000022,AP039298
A000023,AP013019
A000024,AP029675
A000025,AP029027
A000026,AP003546
A000027,AP027986
A000028,AP010476
A000029,AP000339
A000030,AP007744
A000031,AP038902
A000032,AP038558
A000033,AP013083
A000034,AP001195
A000035,AP040234
A000036,AP044127
A000037,AP016398
A000038,AP005229
A000039,AP006036
A000040,AP006704
A000041,AP046391
A000042,AP030435
A000043,AP042308
A000044,AP022962
A000045,AP017048
A000046,AP043100
A000047,AP022155
A000048,AP008590
A000049,AP031893
A000050,AP007459
A000051,AP004926
A000052,AP048672
A000053,AP018587
A000054,AP038555
A000055,AP000952
A000056,AP015599
A000057,AP015885
A000058,AP041246
A000059,AP014616
A000060,AP035928
A000061,AP033574
A000062,AP030045
A000063,AP021525
A000064,AP013617
A000065,AP028199
A000066,AP045126
A000067,AP005813
A000068,AP044197
A000069,AP039400
A000070,AP039180
A000071,AP040152
A000072,AP043260
A000073,AP014731
A000074,AP015791
A000075,AP047207
A000076,AP045273
A000077,AP000229
A000078,AP040651
A000079,AP033125
A000080,AP042596
A000081,AP009276
A000082,AP029968
A000083,AP046353
A000084,AP019596
A000085,AP015716
A000086,AP006913
A000087,AP001573
A000088,AP046704
A000089,AP049180
A000090,AP027690
A000091,AP001564
A000092,AP017039
A000093,AP033665
A000094,AP046944
A000095,AP014659
A000096,AP026260
A000097,AP020540
A000098,AP030054
A000099,AP044898
A000100,AP049424
A000101,AP044851
A000102,AP008884
A000103,AP000861
A000104,AP018840
A000105,AP043355
A000106,AP005683
A000107,AP007426
A000108,AP020982
A000109,AP044844
A000110,AP019053
A000111,AP002822
A000112,AP006073
A000113,AP048148
A000114,AP047912
A000115,AP041119
A000116,AP041458
A000117,AP004865
A000118,AP032556
A000119,AP008150
A000120,AP003933
A000121,AP035883
A000122,AP043890
A000123,AP034203
A000124,AP018659
A000125,AP043053
A000126,AP036584
A000127,AP047203
A000128,AP034378
A000129,AP030225
A000130,AP009694
A000131,AP000344
A000132,AP026976
A000133,AP048386
A000134,AP044146
A000135,AP035325
A000136,AP020786
A000137,AP009023
A000138,AP038041
A000139,AP018129
A000140,AP018503
A000141,AP047823
A000142,AP048679
A000143,AP013494
A000144,AP017072
A000145,AP012850
A000146,AP019223
A000147,AP025874
A000148,AP016076
A000149,AP028857
A000150,AP006336
A000151,AP035280
A000152,AP042656
A000153,AP039502
A000154,AP041728
A000155,AP029200
A000156,AP037376
A000157,AP028116
A000158,AP018515
A000159,AP042731
A000160,AP001964
A000161,AP003265
A000162,AP012998
A000163,AP028557
A000164,AP037279
A000165,AP049362
A000166,AP049028
A000167,AP005455
A000168,AP030533
A000169,AP048093
A000170,AP007786
A000171,AP035854
A000172,AP023109
A000173,AP047597
A000174,AP028003
A000175,AP013962
A000176,AP017702
A000177,AP047405
A000178,AP035496
A000179,AP016121
A000180,AP019590
A000181,AP043676
A000182,AP016938
A000183,AP048579
A000184,AP007862
A000185,AP023488
A000186,AP001447
A000187,AP025913
A000188,AP021451
A000189,AP021813
A000190,AP029319
A000191,AP003485
A000192,AP043427
A000193,AP024171
A000194,AP001414
A000195,AP049492
A000196,AP022057
A000197,AP028014
A000198,AP002815
A000199,AP038843
A000200,AP018635
A000201,AP019079
A000202,AP020976
A000203,AP016722
A000204,AP027066
A000205,AP030828
A000206,AP037982
A000207,AP040884
A000208,AP016224
A000209,AP023250
A000210,AP013439
A000211,AP028712
A000212,AP005915
A000213,AP040878
A000214,AP020555
A000215,AP012077
A000216,AP049284
A000217,AP016056
A000218,AP030956
A000219,AP025972
A000220,AP041800
A000221,AP034213
A000222,AP041666
A000223,AP026167
A000224,AP013634
A000225,AP009084
A000226,AP015194
A000227,AP015029
A000228,AP030655
A000229,AP005024
A000230,AP020832
A000231,AP010896
A000232,AP036693
A000233,AP024592
A000234,AP045427
A000235,AP005991
A000236,AP036148
A000237,AP038243
A000238,AP023687
A000239,AP020336
A000240,AP001878
A000241,AP007578
A000242,AP029481
A000243,AP030138
A000244,AP035398
A000245,AP003546
A000246,AP046729
A000247,AP040743
A000248,AP034034
A000249,AP029994
A000250,AP036621
A000251,AP005044
A000252,AP011602
A000253,AP041679
A000254,AP029603
A000255,AP027747
A000256,AP029502
A000257,AP041932
A000258,AP037716
A000259,AP040251
A000260,AP028234
A000261,AP020691
A000262,AP031741
A000263,AP046373
A000264,AP005134
A000265,AP003347
A000266,AP034037
A000267,AP047634
A000268,AP002596
A000269,AP028124
A000270,AP014703
A000271,AP040925
A000272,AP022063
A000273,AP038335
A000274,AP021794
A000275,AP006760
A000276,AP020094
A000277,AP045610
A000278,AP032925
A000279,AP046605
A000280,AP033936
A000281,AP048183
A000282,AP000407
A000283,AP012047
A000284,AP049516
A000285,AP023006
A000286,AP012075
A000287,AP042523
A000288,AP018635
A000289,AP011627
A000290,AP010824
A000291,AP005786
A000292,AP009957
A000293,AP001181
A000294,AP023644
A000295,AP015223
A000296,AP041189
A000297,AP045354
A000298,AP005026
A000299,AP024197
A000300,AP030341
A000301,AP040814
