application_id,status
A000001,Under Review
A000002,Under Review
A000003,Submitted
A000004,Submitted
A000005,Pending
A000006,Under Review
A000007,Submitted
A000008,Under Review
A000009,Submitted
A000010,Pending
A000011,Under Review
A000012,Submitted
A000013,Under Review
A000014,Under Review
A000015,Submitted
A000016,Pending
A000017,Pending
A000018,Submitted
A000019,Submitted
A000020,Under Review
A000021,Under Review
A000022,Pending
A000023,Submitted
A000024,Pending
A000025,Pending
A000026,Pending
A000027,Under Review
A000028,Under Review
A000029,Under Review
A000030,Under Review
A000031,Under Review
A000032,Pending
A000033,Under Review
A000034,Pending
A000035,Submitted
A000036,Pending
A000037,Under Review
A000038,Pending
A000039,Under Review
A000040,Pending
A000041,Pending
A000042,Under Review
A000043,Submitted
A000044,Submitted
A000045,Submitted
A000046,Under Review
A000047,Under Review
A000048,Submitted
A000049,Under Review
A000050,Submitted
A000051,Pending
A000052,Submitted
A000053,Pending
A000054,Under Review
A000055,Under Review
A000056,Pending
A000057,Under Review
A000058,Pending
A000059,Submitted
A000060,Pending
A000061,Submitted
A000062,Pending
A000063,Under Review
A000064,Pending
A000065,Under Review
A000066,Pending
A000067,Under Review
A000068,Submitted
A000069,Submitted
A000070,Pending
A000071,Submitted
A000072,Pending
A000073,Pending
A000074,Pending
A000075,Under Review
A000076,Under Review
A000077,Pending
A000078,Submitted
A000079,Submitted
A000080,Pending
A000081,Submitted
A000082,Pending
A000083,Submitted
A000084,Under Review
A000085,Submitted
A000086,Submitted
A000087,Under Review
A000088,Under Review
A000089,Submitted
A000090,Pending
A000091,Under Review
A000092,Pending
A000093,Pending
A000094,Pending
A000095,Submitted
A000096,Under Review
A000097,Under Review
A000098,Pending
A000099,Submitted
A000100,Pending
A000101,Pending
A000102,Pending
A000103,Submitted
A000104,Pending
A000105,Submitted
A000106,Under Review
A000107,Submitted
A000108,Pending
A000109,Pending
A000110,Pending
A000111,Pending
A000112,Submitted
A000113,Pending
A000114,Pending
A000115,Under Review
A000116,Under Review
A000117,Submitted
A000118,Pending
A000119,Under Review
A000120,Under Review
A000121,Pending
A000122,Under Review
A000123,Under Review
A000124,Submitted
A000125,Submitted
A000126,Pending
A000127,Under Review
A000128,Submitted
A000129,Under Review
A000130,Submitted
A000131,Pending
A000132,Submitted
A000133,Submitted
A000134,Submitted
A000135,Submitted
A000136,Submitted
A000137,Submitted
A000138,Submitted
A000139,Pending
A000140,Pending
A000141,Pending
A000142,Pending
A000143,Under Review
A000144,Pending
A000145,Pending
A000146,Submitted
A000147,Submitted
A000148,Under Review
A000149,Under Review
A000150,Pending
A000151,Under Review
A000152,Pending
A000153,Under Review
A000154,Pending
A000155,Submitted
A000156,Submitted
A000157,Submitted
A000158,Under Review
A000159,Under Review
A000160,Pending
A000161,Submitted
A000162,Submitted
A000163,Pending
A000164,Submitted
A000165,Under Review
A000166,Pending
A000167,Submitted
A000168,Under Review
A000169,Submitted
A000170,Under Review
A000171,Submitted
A000172,Under Review
A000173,Submitted
A000174,Submitted
A000175,Pending
A000176,Submitted
A000177,Under Review
A000178,Under Review
A000179,Pending
A000180,Submitted
A000181,Submitted
A000182,Pending
A000183,Pending
A000184,Pending
A000185,Under Review
A000186,Under Review
A000187,Under Review
A000188,Under Review
A000189,Under Review
A000190,Pending
A000191,Submitted
A000192,Pending
A000193,Under Review
A000194,Submitted
A000195,Under Review
A000196,Under Review
A000197,Submitted
A000198,Pending
A000199,Pending
A000200,Pending
A000201,Under Review
A000202,Under Review
A000203,Under Review
A000204,Under Review
A000205,Under Review
A000206,Submitted
A000207,Pending
A000208,Under Review
A000209,Submitted
A000210,Under Review
A000211,Pending
A000212,Under Review
A000213,Pending
A000214,Pending
A000215,Under Review
A000216,Submitted
A000217,Submitted
A000218,Submitted
A000219,Under Review
A000220,Under Review
A000221,Submitted
A000222,Pending
A000223,Submitted
A000224,Pending
A000225,Pending
A000226,Under Review
A000227,Under Review
A000228,Submitted
A000229,Submitted
A000230,Submitted
A000231,Submitted
A000232,Submitted
A000233,Under Review
A000234,Under Review
A000235,Submitted
A000236,Submitted
A000237,Submitted
A000238,Submitted
A000239,Under Review
A000240,Under Review
A000241,Submitted
A000242,Pending
A000243,Under Review
A000244,Submitted
A000245,Under Review
A000246,Submitted
A000247,Submitted
A000248,Submitted
A000249,Under Review
A000250,Under Review
A000251,Submitted
A000252,Pending
A000253,Pending
A000254,Pending
A000255,Submitted
A000256,Submitted
A000257,Submitted
A000258,Under Review
A000259,Submitted
A000260,Pending
A000261,Pending
A000262,Submitted
A000263,Submitted
A000264,Submitted
A000265,Submitted
A000266,Submitted
A000267,Pending
A000268,Under Review
A000269,Pending
A000270,Submitted
A000271,Pending
A000272,Pending
A000273,Submitted
A000274,Submitted
A000275,Pending
A000276,Pending
A000277,Under Review
A000278,Pending
A000279,Pending
A000280,Pending
A000281,Submitted
A000282,Under Review
A000283,Submitted
A000284,Under Review
A000285,Pending
A000286,Submitted
A000287,Under Review
A000288,Under Review
A000289,Under Review
A000290,Under Review
A000291,Under Review
A000292,Pending
A000293,Under Review
A000294,Pending
A000295,Under Review
A000296,Under Review
A000297,Pending
A000298,Submitted
A000299,Submitted
A000300,Submitted
A000301,Under Review
A000302,Under Review
A000303,Submitted
A000304,Under Review
A000305,Submitted
A000306,Pending
A000307,Submitted
A000308,Pending
A000309,Submitted
A000310,Under Review
A000311,Under Review
A000312,Under Review
A000313,Under Review
A000314,Pending
A000315,Submitted
A000316,Under Review
A000317,Submitted
A000318,Pending
A000319,Under Review
A000320,Under Review
A000321,Under Review
A000322,Pending
A000323,Pending
A000324,Pending
A000325,Under Review
A000326,Submitted
A000327,Submitted
A000328,Pending
A000329,Submitted
A000330,Pending
A000331,Under Review
A000332,Pending
A000333,Under Review
A000334,Pending
A000335,Pending
A000336,Under Review
A000337,Under Review
A000338,Submitted
A000339,Under Review
A000340,Under Review
A000341,Pending
A000342,Under Review
A000343,Pending
A000344,Pending
A000345,Pending
A000346,Pending
A000347,Pending
A000348,Pending
A000349,Submitted
A000350,Under Review
A000351,Pending
A000352,Pending
A000353,Submitted
A000354,Submitted
A000355,Pending
A000356,Pending
A000357,Pending
A000358,Pending
A000359,Pending
A000360,Submitted
A000361,Submitted
A000362,Under Review
A000363,Pending
A000364,Pending
A000365,Submitted
A000366,Pending
A000367,Submitted
A000368,Submitted
A000369,Under Review
A000370,Submitted
A000371,Pending
A000372,Under Review
A000373,Submitted
A000374,Pending
A000375,Under Review
A000376,Under Review
A000377,Under Review
A000378,Pending
A000379,Pending
A000380,Pending
A000381,Pending
A000382,Pending
A000383,Pending
A000384,Submitted
A000385,Submitted
A000386,Under Review
A000387,Pending
A000388,Under Review
A000389,Pending
A000390,Pending
A000391,Submitted
A000392,Under Review
A000393,Submitted
A000394,Submitted
A000395,Under Review
A000396,Submitted
A000397,Under Review
A000398,Submitted
A000399,Under Review
A000400,Under Review
A000401,Pending
A000402,Pending
A000403,Under Review
A000404,Pending
A000405,Pending
A000406,Under Review
A000407,Submitted
A000408,Submitted
A000409,Under Review
A000410,Pending
A000411,Under Review
A000412,Under Review
A000413,Pending
A000414,Pending
A000415,Pending
A000416,Under Review
A000417,Submitted
A000418,Under Review
A000419,Submitted
A000420,Pending
A000421,Pending
A000422,Pending
A000423,Under Review
A000424,Submitted
A000425,Submitted
A000426,Submitted
A000427,Pending
A000428,Pending
