approval_id,status
AP000001,Pending
AP000002,Rejected
AP000003,Pending
AP000004,Pending
AP000005,Rejected
AP000006,Rejected
AP000007,Approved
AP000008,Rejected
AP000009,Pending
AP000010,Pending
AP000011,Rejected
AP000012,Rejected
AP000013,Rejected
AP000014,Rejected
AP000015,Rejected
AP000016,Approved
AP000017,Rejected
AP000018,Rejected
AP000019,Approved
AP000020,Approved
AP000021,Approved
AP000022,Rejected
AP000023,Approved
AP000024,Rejected
AP000025,Rejected
AP000026,Pending
AP000027,Rejected
AP000028,Approved
AP000029,Pending
AP000030,Rejected
AP000031,Rejected
AP000032,Pending
AP000033,Rejected
AP000034,Rejected
AP000035,Pending
AP000036,Rejected
AP000037,Approved
AP000038,Approved
AP000039,Rejected
AP000040,Rejected
AP000041,Rejected
AP000042,Approved
AP000043,Rejected
AP000044,Rejected
AP000045,Rejected
AP000046,Pending
AP000047,Pending
AP000048,Pending
AP000049,Approved
AP000050,Pending
AP000051,Approved
AP000052,Rejected
AP000053,Pending
AP000054,Pending
AP000055,Approved
AP000056,Rejected
AP000057,Approved
AP000058,Approved
AP000059,Rejected
AP000060,Approved
AP000061,Approved
AP000062,Approved
AP000063,Approved
AP000064,Approved
AP000065,Pending
AP000066,Approved
AP000067,Rejected
AP000068,Approved
AP000069,Approved
AP000070,Approved
AP000071,Pending
AP000072,Pending
AP000073,Rejected
AP000074,Rejected
AP000075,Approved
AP000076,Approved
AP000077,Rejected
AP000078,Pending
AP000079,Approved
AP000080,Pending
AP000081,Approved
AP000082,Approved
AP000083,Approved
AP000084,Rejected
AP000085,Pending
AP000086,Rejected
AP000087,Approved
AP000088,Pending
AP000089,Rejected
AP000090,Pending
AP000091,Pending
AP000092,Pending
AP000093,Approved
AP000094,Approved
AP000095,Pending
AP000096,Pending
AP000097,Approved
AP000098,Approved
AP000099,Rejected
AP000100,Approved
AP000101,Pending
AP000102,Approved
AP000103,Pending
AP000104,Rejected
AP000105,Pending
AP000106,Approved
AP000107,Rejected
AP000108,Approved
AP000109,Pending
AP000110,Pending
AP000111,Rejected
AP000112,Rejected
AP000113,Pending
AP000114,Rejected
AP000115,Rejected
AP000116,Rejected
AP000117,Pending
AP000118,Pending
AP000119,Pending
AP000120,Pending
AP000121,Pending
AP000122,Pending
AP000123,Pending
AP000124,Rejected
AP000125,Pending
AP000126,Approved
AP000127,Rejected
AP000128,Approved
AP000129,Pending
AP000130,Approved
AP000131,Rejected
AP000132,Approved
AP000133,Rejected
AP000134,Rejected
AP000135,Approved
AP000136,Approved
AP000137,Rejected
AP000138,Pending
AP000139,Rejected
AP000140,Approved
AP000141,Approved
AP000142,Pending
AP000143,Pending
AP000144,Approved
AP000145,Pending
AP000146,Rejected
AP000147,Pending
AP000148,Pending
AP000149,Rejected
AP000150,Approved
AP000151,Approved
AP000152,Pending
AP000153,Approved
AP000154,Pending
AP000155,Rejected
AP000156,Rejected
AP000157,Rejected
AP000158,Approved
AP000159,Pending
AP000160,Approved
AP000161,Pending
AP000162,Rejected
AP000163,Rejected
AP000164,Approved
AP000165,Pending
AP000166,Pending
AP000167,Pending
AP000168,Pending
AP000169,Approved
AP000170,Approved
AP000171,Pending
AP000172,Rejected
AP000173,Rejected
AP000174,Pending
AP000175,Rejected
AP000176,Rejected
AP000177,Approved
AP000178,Approved
AP000179,Approved
AP000180,Pending
AP000181,Rejected
AP000182,Rejected
AP000183,Approved
AP000184,Rejected
AP000185,Rejected
AP000186,Pending
AP000187,Pending
AP000188,Pending
AP000189,Approved
AP000190,Pending
AP000191,Approved
AP000192,Rejected
AP000193,Rejected
AP000194,Approved
AP000195,Pending
AP000196,Approved
AP000197,Pending
AP000198,Approved
AP000199,Rejected
AP000200,Pending
AP000201,Rejected
AP000202,Approved
AP000203,Rejected
AP000204,Pending
AP000205,Rejected
AP000206,Approved
AP000207,Pending
AP000208,Pending
AP000209,Pending
AP000210,Approved
AP000211,Pending
AP000212,Approved
AP000213,Pending
AP000214,Pending
AP000215,Rejected
AP000216,Approved
AP000217,Rejected
AP000218,Pending
AP000219,Rejected
AP000220,Pending
AP000221,Pending
AP000222,Rejected
AP000223,Pending
AP000224,Rejected
AP000225,Rejected
AP000226,Rejected
AP000227,Pending
AP000228,Rejected
AP000229,Rejected
AP000230,Pending
AP000231,Pending
AP000232,Pending
AP000233,Approved
AP000234,Rejected
AP000235,Approved
AP000236,Rejected
AP000237,Pending
AP000238,Approved
AP000239,Rejected
AP000240,Pending
AP000241,Pending
AP000242,Approved
AP000243,Pending
AP000244,Rejected
AP000245,Approved
AP000246,Rejected
AP000247,Approved
AP000248,Rejected
AP000249,Approved
AP000250,Approved
AP000251,Rejected
AP000252,Approved
AP000253,Rejected
AP000254,Approved
AP000255,Rejected
AP000256,Pending
AP000257,Approved
AP000258,Rejected
AP000259,Rejected
AP000260,Pending
AP000261,Rejected
AP000262,Rejected
AP000263,Approved
AP000264,Approved
AP000265,Pending
AP000266,Rejected
AP000267,Pending
AP000268,Pending
AP000269,Rejected
AP000270,Rejected
AP000271,Rejected
AP000272,Approved
AP000273,Rejected
AP000274,Rejected
AP000275,Pending
AP000276,Pending
AP000277,Rejected
AP000278,Pending
AP000279,Approved
AP000280,Rejected
AP000281,Pending
AP000282,Pending
AP000283,Approved
AP000284,Pending
AP000285,Rejected
AP000286,Approved
AP000287,Approved
AP000288,Pending
AP000289,Pending
AP000290,Pending
AP000291,Approved
AP000292,Pending
AP000293,Pending
AP000294,Rejected
AP000295,Approved
AP000296,Rejected
AP000297,Pending
AP000298,Pending
AP000299,Pending
AP000300,Approved
AP000301,Approved
AP000302,Pending
AP000303,Approved
AP000304,Rejected
AP000305,Approved
AP000306,Pending
AP000307,Approved
AP000308,Rejected
AP000309,Approved
AP000310,Pending
AP000311,Rejected
AP000312,Pending
AP000313,Rejected
AP000314,Rejected
AP000315,Rejected
AP000316,Pending
AP000317,Rejected
AP000318,Approved
AP000319,Pending
AP000320,Pending
AP000321,Rejected
AP000322,Rejected
AP000323,Pending
AP000324,Rejected
AP000325,Approved
AP000326,Rejected
AP000327,Pending
AP000328,Pending
AP000329,Rejected
AP000330,Rejected
AP000331,Rejected
AP000332,Pending
AP000333,Pending
AP000334,Rejected
AP000335,Pending
AP000336,Approved
AP000337,Pending
AP000338,Approved
AP000339,Approved
AP000340,Pending
AP000341,Pending
AP000342,Approved
AP000343,Rejected
AP000344,Rejected
AP000345,Rejected
AP000346,Pending
AP000347,Pending
AP000348,Rejected
AP000349,Pending
AP000350,Pending
AP000351,Rejected
AP000352,Pending
AP000353,Pending
AP000354,Rejected
AP000355,Approved
AP000356,Pending
AP000357,Pending
AP000358,Pending
AP000359,Rejected
AP000360,Pending
AP000361,Approved
AP000362,Approved
AP000363,Approved
AP000364,Approved
AP000365,Rejected
AP000366,Pending
AP000367,Approved
AP000368,Approved
AP000369,Pending
AP000370,Pending
AP000371,Approved
AP000372,Pending
AP000373,Rejected
AP000374,Pending
AP000375,Pending
AP000376,Pending
AP000377,Rejected
AP000378,Rejected
AP000379,Pending
AP000380,Pending
AP000381,Pending
AP000382,Rejected
AP000383,Pending
AP000384,Rejected
AP000385,Rejected
AP000386,Pending
AP000387,Approved
AP000388,Rejected
AP000389,Approved
AP000390,Pending
AP000391,Rejected
AP000392,Pending
AP000393,Pending
AP000394,Approved
AP000395,Pending
AP000396,Approved
AP000397,Approved
AP000398,Rejected
AP000399,Approved
AP000400,Pending
AP000401,Approved
AP000402,Pending
AP000403,Pending
AP000404,Approved
AP000405,Approved
AP000406,Rejected
AP000407,Rejected
AP000408,Rejected
AP000409,Approved
AP000410,Approved
AP000411,Approved
AP000412,Rejected
AP000413,Approved
AP000414,Rejected
AP000415,Pending
AP000416,Rejected
AP000417,Pending
AP000418,Approved
AP000419,Rejected
AP000420,Rejected
AP000421,Approved
AP000422,Rejected
AP000423,Approved
AP000424,Rejected
AP000425,Pending
AP000426,Approved
AP000427,Pending
AP000428,Pending
AP000429,Rejected
AP000430,Approved
AP000431,Pending
AP000432,Rejected
AP000433,Approved
AP000434,Approved
AP000435,Rejected
AP000436,Approved
AP000437,Approved
AP000438,Approved
AP000439,Approved
AP000440,Pending
AP000441,Rejected
AP000442,Rejected
AP000443,Approved
AP000444,Pending
AP000445,Approved
AP000446,Pending
AP000447,Rejected
AP000448,Approved
AP000449,Rejected
AP000450,Rejected
AP000451,Pending
AP000452,Rejected
AP000453,Rejected
AP000454,Pending
AP000455,Rejected
AP000456,Rejected
AP000457,Pending
AP000458,Approved
AP000459,Approved
AP000460,Approved
AP000461,Rejected
AP000462,Rejected
AP000463,Rejected
AP000464,Rejected
AP000465,Pending
AP000466,Rejected
AP000467,Rejected
AP000468,Rejected
AP000469,Pending
AP000470,Pending
AP000471,Pending
AP000472,Approved
