doc_id,officer_id
D000001,C0378
D000002,C0402
D000003,C0274
D000004,C0426
D000005,C0200
D000006,C0290
D000007,C0216
D000008,C0350
D000009,C0033
D000010,C0038
D000011,C0233
D000012,C0260
D000013,C0257
D000014,C0176
D000015,C0102
D000016,C0486
D000017,C0378
D000018,C0282
D000019,C0394
D000020,C0057
D000021,C0132
D000022,C0070
D000023,C0343
D000024,C0360
D000025,C0094
D000026,C0067
D000027,C0192
D000028,C0316
D000029,C0057
D000030,C0368
D000031,C0112
D000032,C0363
D000033,C0140
D000034,C0123
D000035,C0398
D000036,C0058
D000037,C0157
D000038,C0424
D000039,C0086
D000040,C0355
D000041,C0112
D000042,C0115
D000043,C0177
D000044,C0292
D000045,C0060
D000046,C0463
D000047,C0212
D000048,C0219
D000049,C0464
D000050,C0135
D000051,C0026
D000052,C0041
D000053,C0437
D000054,C0006
D000055,C0089
D000056,C0054
D000057,C0001
D000058,C0443
D000059,C0460
D000060,C0112
D000061,C0444
D000062,C0420
D000063,C0271
D000064,C0163
D000065,C0187
D000066,C0381
D000067,C0383
D000068,C0217
D000069,C0056
D000070,C0032
D000071,C0088
D000072,C0429
D000073,C0379
D000074,C0315
D000075,C0296
D000076,C0465
D000077,C0393
D000078,C0073
D000079,C0280
D000080,C0188
D000081,C0318
D000082,C0281
D000083,C0071
D000084,C0347
D000085,C0228
D000086,C0024
D000087,C0327
D000088,C0231
D000089,C0214
D000090,C0326
D000091,C0334
D000092,C0260
D000093,C0260
D000094,C0263
D000095,C0238
D000096,C0086
D000097,C0311
D000098,C0325
D000099,C0203
D000100,C0239
D000101,C0099
D000102,C0329
D000103,C0199
D000104,C0168
D000105,C0066
D000106,C0227
D000107,C0328
D000108,C0223
D000109,C0480
D000110,C0463
D000111,C0260
D000112,C0432
D000113,C0276
D000114,C0235
D000115,C0016
D000116,C0045
D000117,C0138
D000118,C0377
D000119,C0401
D000120,C0132
D000121,C0387
D000122,C0052
D000123,C0497
D000124,C0284
D000125,C0366
D000126,C0171
D000127,C0126
D000128,C0478
D000129,C0112
D000130,C0222
D000131,C0347
D000132,C0217
D000133,C0060
D000134,C0498
D000135,C0445
D000136,C0140
D000137,C0325
D000138,C0078
D000139,C0478
D000140,C0413
D000141,C0042
D000142,C0466
D000143,C0163
D000144,C0182
D000145,C0305
D000146,C0256
D000147,C0404
D000148,C0085
D000149,C0370
D000150,C0081
D000151,C0422
D000152,C0216
D000153,C0126
D000154,C0332
D000155,C0432
D000156,C0410
D000157,C0151
D000158,C0226
D000159,C0325
D000160,C0037
D000161,C0085
D000162,C0164
D000163,C0171
D000164,C0482
D000165,C0049
D000166,C0191
D000167,C0478
D000168,C0443
D000169,C0070
D000170,C0332
D000171,C0301
D000172,C0488
D000173,C0474
D000174,C0496
D000175,C0074
D000176,C0305
D000177,C0291
D000178,C0012
D000179,C0425
D000180,C0319
D000181,C0386
D000182,C0280
D000183,C0163
D000184,C0084
D000185,C0143
D000186,C0413
D000187,C0302
D000188,C0127
D000189,C0119
D000190,C0293
D000191,C0020
D000192,C0155
D000193,C0251
D000194,C0318
D000195,C0229
D000196,C0354
D000197,C0116
D000198,C0478
D000199,C0121
D000200,C0368
D000201,C0020
D000202,C0420
D000203,C0363
D000204,C0236
D000205,C0050
D000206,C0044
D000207,C0244
D000208,C0426
D000209,C0116
D000210,C0379
D000211,C0323
D000212,C0040
D000213,C0267
D000214,C0305
D000215,C0442
D000216,C0174
D000217,C0253
D000218,C0240
D000219,C0486
D000220,C0062
D000221,C0140
D000222,C0444
D000223,C0146
D000224,C0308
D000225,C0425
D000226,C0315
D000227,C0257
D000228,C0319
D000229,C0459
D000230,C0318
D000231,C0460
D000232,C0064
D000233,C0059
D000234,C0153
D000235,C0196
D000236,C0144
D000237,C0349
D000238,C0326
D000239,C0067
D000240,C0136
D000241,C0420
D000242,C0221
D000243,C0398
D000244,C0035
D000245,C0204
D000246,C0081
D000247,C0410
D000248,C0151
D000249,C0280
D000250,C0486
D000251,C0009
D000252,C0226
D000253,C0446
D000254,C0280
D000255,C0472
D000256,C0128
D000257,C0298
D000258,C0227
D000259,C0292
D000260,C0014
D000261,C0180
D000262,C0301
D000263,C0171
D000264,C0076
D000265,C0108
D000266,C0152
D000267,C0090
D000268,C0106
D000269,C0400
D000270,C0163
D000271,C0296
D000272,C0057
D000273,C0046
D000274,C0274
D000275,C0063
D000276,C0169
D000277,C0338
D000278,C0109
D000279,C0039
D000280,C0381
D000281,C0356
D000282,C0406
D000283,C0341
D000284,C0131
D000285,C0097
D000286,C0312
D000287,C0153
D000288,C0018
D000289,C0024
D000290,C0197
D000291,C0477
D000292,C0290
D000293,C0467
D000294,C0046
D000295,C0173
D000296,C0313
D000297,C0338
D000298,C0082
D000299,C0403
D000300,C0490
D000301,C0423
D000302,C0248
D000303,C0090
D000304,C0490
D000305,C0477
D000306,C0288
D000307,C0053
D000308,C0374
