merchant_id,doc_id
M42350,D000001
M04373,D000002
M10397,D000003
M36317,D000004
M38594,D000005
M37712,D000006
M02421,D000007
M42253,D000008
M35534,D000009
M47731,D000010
M14265,D000011
M48840,D000012
M28312,D000013
M43628,D000014
M07588,D000015
M34681,D000016
M29535,D000017
M31269,D000018
M04514,D000019
M05112,D000020
M29704,D000021
M00653,D000022
M36049,D000023
M07609,D000024
M38458,D000025
M13088,D000026
M38902,D000027
M08071,D000028
M40805,D000029
M14603,D000030
M09029,D000031
M28597,D000032
M06526,D000033
M06751,D000034
M25343,D000035
M37417,D000036
M27661,D000037
M25523,D000038
M06998,D000039
M48747,D000040
M29564,D000041
M48228,D000042
M15112,D000043
M37368,D000044
M45128,D000045
M18276,D000046
M01467,D000047
M21172,D000048
M19518,D000049
M42982,D000050
M12900,D000051
M49283,D000052
M46152,D000053
M22482,D000054
M10952,D000055
M16724,D000056
M45430,D000057
M31787,D000058
M45443,D000059
M16872,D000060
M47625,D000061
M04122,D000062
M02738,D000063
M09391,D000064
M18508,D000065
M46999,D000066
M24051,D000067
M11358,D000068
M42781,D000069
M03482,D000070
M17400,D000071
M35942,D000072
M11014,D000073
M15068,D000074
M23656,D000075
M06866,D000076
M14943,D000077
M39441,D000078
M06843,D000079
M41016,D000080
M06205,D000081
M27742,D000082
M38061,D000083
M32374,D000084
M05447,D000085
M12689,D000086
M16572,D000087
M40000,D000088
M18181,D000089
M42378,D000090
M00561,D000091
M37602,D000092
M01593,D000093
M39365,D000094
M30397,D000095
M48990,D000096
M08292,D000097
M29938,D000098
M00138,D000099
M49016,D000100
M20802,D000101
M31475,D000102
M44601,D000103
M20540,D000104
M37140,D000105
M13716,D000106
M13248,D000107
M46176,D000108
M43686,D000109
M15515,D000110
M43896,D000111
M45813,D000112
M08581,D000113
M21673,D000114
M45565,D000115
M24064,D000116
M27589,D000117
M43586,D000118
M06814,D000119
M23546,D000120
M48047,D000121
M25936,D000122
M47938,D000123
M20479,D000124
M32441,D000125
M17601,D000126
