merchant_id,application_id
M00001,A022189
M00002,A033758
M00003,A027657
M00004,A031299
M00005,A036191
M00006,A012561
M00007,A016493
M00008,A010629
M00009,A033945
M00010,A019861
M00011,A027018
M00012,A009027
M00013,A017677
M00014,A037426
M00015,A039053
M00016,A039728
M00017,A025388
M00018,A021237
M00019,A007860
M00020,A023573
M00021,A005564
M00022,A046271
M00023,A022765
M00024,A015686
M00025,A012530
M00026,A007780
M00027,A010986
M00028,A030292
M00029,A008317
M00030,A014553
M00031,A035028
M00032,A025957
M00033,A040074
M00034,A000799
M00035,A033588
M00036,A037597
M00037,A032352
M00038,A049192
M00039,A021102
M00040,A006574
M00041,A027420
M00042,A035400
M00043,A010758
M00044,A017615
M00045,A045430
M00046,A000780
M00047,A032851
M00048,A048070
M00049,A039448
M00050,A035079
M00051,A043688
M00052,A037973
M00053,A024986
M00054,A036822
M00055,A032444
M00056,A044936
M00057,A014897
M00058,A042253
M00059,A045984
M00060,A009280
M00061,A013024
M00062,A010693
M00063,A018346
M00064,A013707
M00065,A040068
M00066,A002556
M00067,A034538
M00068,A003640
M00069,A014183
M00070,A033204
M00071,A014748
M00072,A009251
M00073,A005851
M00074,A019910
M00075,A020585
M00076,A030797
M00077,A034166
M00078,A030450
M00079,A029964
M00080,A007003
M00081,A012479
M00082,A028342
M00083,A007711
M00084,A024085
M00085,A002817
M00086,A028668
M00087,A020444
M00088,A019239
M00089,A008872
M00090,A023346
M00091,A016981
M00092,A028312
M00093,A023978
M00094,A000835
M00095,A007324
M00096,A049497
M00097,A030250
M00098,A037065
M00099,A048896
M00100,A046509
M00101,A046033
M00102,A018881
M00103,A003124
M00104,A025489
M00105,A022833
M00106,A028648
M00107,A045703
M00108,A026885
M00109,A046638
M00110,A018868
M00111,A005576
M00112,A029564
M00113,A037566
M00114,A045343
M00115,A008608
M00116,A031792
M00117,A035210
M00118,A014696
M00119,A029328
M00120,A026620
M00121,A028659
M00122,A033352
M00123,A032353
M00124,A010384
M00125,A015226
M00126,A002211
M00127,A039534
M00128,A021477
M00129,A005334
M00130,A013744
M00131,A007110
M00132,A017197
M00133,A000543
M00134,A015099
M00135,A025088
M00136,A029538
M00137,A010228
M00138,A021361
M00139,A032404
M00140,A043017
M00141,A044509
M00142,A043551
M00143,A033107
M00144,A000323
M00145,A039244
M00146,A009704
M00147,A045599
M00148,A000034
M00149,A017893
M00150,A045789
M00151,A015180
M00152,A034539
M00153,A047572
M00154,A004793
M00155,A048172
M00156,A022320
M00157,A008548
M00158,A007082
M00159,A046908
M00160,A010771
M00161,A003044
M00162,A011244
M00163,A037083
M00164,A031295
M00165,A044119
M00166,A047732
M00167,A007259
M00168,A006879
M00169,A026463
M00170,A028636
M00171,A036340
M00172,A010690
M00173,A044721
M00174,A017052
M00175,A015407
M00176,A006620
M00177,A015295
M00178,A006191
M00179,A027063
M00180,A010418
M00181,A046415
M00182,A001724
M00183,A026943
M00184,A011768
M00185,A032402
M00186,A010760
M00187,A029544
M00188,A026040
M00189,A034604
M00190,A034732
M00191,A006522
M00192,A035345
M00193,A028551
M00194,A035532
M00195,A038422
M00196,A037076
M00197,A046821
M00198,A013837
M00199,A048357
M00200,A044248
M00201,A037608
M00202,A038495
M00203,A027308
M00204,A027663
M00205,A001042
M00206,A010813
M00207,A038852
M00208,A041167
M00209,A041961
M00210,A012613
M00211,A037367
M00212,A029253
M00213,A022791
M00214,A002313
M00215,A007228
M00216,A008886
M00217,A047797
M00218,A007739
M00219,A000375
M00220,A010090
M00221,A031377
M00222,A030222
M00223,A028303
M00224,A005444
M00225,A020716
M00226,A006495
M00227,A008890
M00228,A045355
M00229,A019039
M00230,A031833
M00231,A035143
M00232,A010879
M00233,A026629
M00234,A035729
M00235,A010337
M00236,A038152
M00237,A030650
M00238,A009785
M00239,A018664
M00240,A020577
M00241,A039317
M00242,A007288
M00243,A020663
M00244,A029856
M00245,A006056
M00246,A041124
M00247,A015781
M00248,A005233
M00249,A042427
M00250,A012208
M00251,A035725
M00252,A030247
M00253,A033860
M00254,A022124
M00255,A025199
M00256,A036889
M00257,A003995
M00258,A047489
M00259,A019627
M00260,A017425
M00261,A040369
M00262,A000530
M00263,A041454
M00264,A010620
M00265,A046346
M00266,A042354
M00267,A023455
M00268,A011642
M00269,A018773
M00270,A006294
M00271,A016476
M00272,A004727
M00273,A013989
M00274,A029554
M00275,A010361
M00276,A003830
M00277,A024298
M00278,A018575
M00279,A006532
M00280,A019567
M00281,A037321
M00282,A041289
M00283,A026312
M00284,A007839
M00285,A003658
M00286,A011086
M00287,A031105
M00288,A025204
M00289,A040042
M00290,A040564
M00291,A009723
M00292,A047647
M00293,A032013
M00294,A006370
M00295,A034974
M00296,A002075
M00297,A022387
M00298,A011041
M00299,A010810
M00300,A035304
M00301,A014324
M00302,A039053
M00303,A030488
M00304,A031261
M00305,A016070
M00306,A023181
M00307,A001907
M00308,A005753
M00309,A028177
M00310,A023053
M00311,A025651
M00312,A018812
M00313,A024894
M00314,A000731
M00315,A023745
M00316,A040761
M00317,A018723
M00318,A032427
M00319,A025998
M00320,A031859
M00321,A048465
M00322,A033520
M00323,A018293
M00324,A047401
M00325,A049269
M00326,A031084
M00327,A002381
M00328,A040257
M00329,A010215
M00330,A047624
M00331,A012254
M00332,A023231
M00333,A048114
M00334,A008533
M00335,A006072
M00336,A002442
M00337,A045683
M00338,A008988
M00339,A048277
M00340,A008387
M00341,A011854
M00342,A019217
M00343,A015131
M00344,A029676
M00345,A010349
M00346,A010779
M00347,A022667
M00348,A023226
M00349,A034581
M00350,A033326
M00351,A002117
M00352,A010442
M00353,A018570
M00354,A023235
M00355,A016144
M00356,A043923
M00357,A041718
M00358,A026752
M00359,A043577
M00360,A006542
M00361,A044368
M00362,A028478
M00363,A042929
M00364,A017462
M00365,A028440
M00366,A046775
M00367,A042859
M00368,A048638
M00369,A033510
M00370,A047267
M00371,A041928
M00372,A027574
M00373,A029378
M00374,A023343
M00375,A020311
M00376,A010963
M00377,A045135
M00378,A016702
M00379,A034996
M00380,A031958
M00381,A031244
M00382,A040764
M00383,A012667
M00384,A031570
M00385,A041483
M00386,A026969
M00387,A024552
M00388,A017499
M00389,A042629
M00390,A042793
M00391,A039995
M00392,A021815
M00393,A017772
M00394,A013637
M00395,A031952
M00396,A008850
M00397,A000146
M00398,A015176
M00399,A046161
M00400,A021548
M00401,A047670
M00402,A033266
M00403,A013245
M00404,A036971
M00405,A019499
M00406,A036014
M00407,A001987
M00408,A016229
M00409,A028521
M00410,A037870
M00411,A029912
M00412,A034112
M00413,A036712
M00414,A007167
M00415,A006586
M00416,A044896
M00417,A033205
M00418,A048248
M00419,A026089
M00420,A045799
M00421,A039864
M00422,A033074
M00423,A042859
M00424,A043445
M00425,A044417
M00426,A012924
M00427,A024713
M00428,A031570
M00429,A009186
M00430,A002046
M00431,A001133
M00432,A015706
M00433,A037228
M00434,A027732
M00435,A040133
M00436,A018825
M00437,A021592
M00438,A006272
M00439,A001340
M00440,A009015
M00441,A030149
M00442,A038923
M00443,A032203
M00444,A038512
M00445,A021801
M00446,A015365
M00447,A005525
M00448,A027294
M00449,A039914
M00450,A008854
M00451,A027450
M00452,A038703
M00453,A031797
M00454,A042221
M00455,A025862
M00456,A012639
M00457,A028903
M00458,A019322
M00459,A019009
M00460,A011940
M00461,A031638
M00462,A017191
M00463,A002219
M00464,A037977
M00465,A019408
M00466,A027458
M00467,A044825
M00468,A033454
M00469,A001320
M00470,A022402
M00471,A019376
M00472,A038423
M00473,A017351
M00474,A024123
M00475,A003958
M00476,A006502
M00477,A020245
M00478,A010110
M00479,A042187
M00480,A011511
M00481,A026242
M00482,A025213
M00483,A013756
M00484,A043583
M00485,A009641
M00486,A004165
M00487,A011196
M00488,A007814
M00489,A039324
M00490,A010359
M00491,A049471
M00492,A011413
M00493,A045723
M00494,A041439
M00495,A025965
M00496,A020822
M00497,A009248
M00498,A039994
M00499,A009864
M00500,A021781
M00501,A014744
M00502,A021363
M00503,A034164
M00504,A021061
M00505,A014584
M00506,A024649
M00507,A001803
M00508,A044775
M00509,A023204
M00510,A046995
M00511,A018480
M00512,A036195
M00513,A016930
M00514,A001323
M00515,A006796
M00516,A044032
M00517,A043308
M00518,A004380
M00519,A008677
M00520,A015543
M00521,A009420
M00522,A029620
M00523,A022533
M00524,A021482
M00525,A015752
M00526,A010238
M00527,A003632
M00528,A032973
M00529,A009796
M00530,A041055
M00531,A001525
M00532,A004657
M00533,A006423
M00534,A028019
M00535,A047084
M00536,A016708
M00537,A035697
M00538,A020255
M00539,A029875
M00540,A043291
M00541,A008583
M00542,A017901
M00543,A007527
M00544,A030885
M00545,A019112
M00546,A011058
M00547,A035574
M00548,A016831
M00549,A049629
M00550,A033564
M00551,A006526
M00552,A014739
M00553,A014095
M00554,A002469
M00555,A018836
M00556,A021997
M00557,A036598
M00558,A029403
M00559,A002922
M00560,A033886
M00561,A028578
M00562,A000178
M00563,A048221
