merchant_id,bank_id
M00001,B064
M00002,B069
M00003,B080
M00004,B010
M00005,B058
M00006,B076
M00007,B068
M00008,B072
M00009,B025
M00010,B003
M00011,B007
M00012,B006
M00013,B019
M00014,B019
M00015,B085
M00016,B079
M00017,B096
M00018,B080
M00019,B062
M00020,B055
M00021,B016
M00022,B049
M00023,B036
M00024,B040
M00025,B048
M00026,B098
M00027,B068
M00028,B077
M00029,B087
M00030,B059
M00031,B083
M00032,B040
M00033,B006
M00034,B016
M00035,B024
M00036,B076
M00037,B039
M00038,B064
M00039,B022
M00040,B096
M00041,B031
M00042,B004
M00043,B039
M00044,B073
M00045,B086
M00046,B019
M00047,B043
M00048,B070
M00049,B079
M00050,B081
M00051,B016
M00052,B091
M00053,B013
M00054,B015
M00055,B012
M00056,B083
M00057,B088
M00058,B061
M00059,B001
M00060,B070
M00061,B024
M00062,B083
M00063,B060
M00064,B070
M00065,B019
M00066,B078
M00067,B042
M00068,B022
M00069,B067
M00070,B057
M00071,B052
M00072,B002
M00073,B015
M00074,B027
M00075,B001
M00076,B047
M00077,B066
M00078,B064
M00079,B047
M00080,B082
M00081,B022
M00082,B054
M00083,B065
M00084,B089
M00085,B008
M00086,B084
M00087,B080
M00088,B068
M00089,B021
M00090,B086
M00091,B020
M00092,B062
M00093,B051
M00094,B013
M00095,B010
M00096,B029
M00097,B007
M00098,B045
M00099,B041
M00100,B081
M00101,B049
M00102,B002
M00103,B097
M00104,B005
M00105,B067
M00106,B053
M00107,B062
M00108,B031
M00109,B049
M00110,B079
M00111,B071
M00112,B073
M00113,B013
M00114,B069
M00115,B044
M00116,B090
M00117,B057
M00118,B021
M00119,B076
M00120,B094
M00121,B041
M00122,B004
M00123,B081
M00124,B047
M00125,B095
M00126,B078
M00127,B069
M00128,B090
M00129,B099
M00130,B021
M00131,B091
M00132,B100
M00133,B095
M00134,B073
M00135,B014
M00136,B078
M00137,B032
M00138,B025
M00139,B037
M00140,B003
M00141,B088
M00142,B010
M00143,B087
M00144,B048
M00145,B065
M00146,B068
M00147,B069
M00148,B037
M00149,B071
M00150,B048
M00151,B050
M00152,B005
M00153,B050
M00154,B043
M00155,B089
M00156,B057
M00157,B098
M00158,B091
M00159,B071
M00160,B035
M00161,B077
M00162,B044
M00163,B039
M00164,B094
M00165,B053
M00166,B079
M00167,B088
M00168,B089
M00169,B028
M00170,B019
M00171,B042
M00172,B091
M00173,B011
M00174,B042
M00175,B065
M00176,B029
M00177,B090
M00178,B100
M00179,B005
M00180,B089
M00181,B038
M00182,B083
M00183,B039
M00184,B017
M00185,B001
M00186,B053
M00187,B007
M00188,B013
M00189,B023
M00190,B060
M00191,B095
M00192,B041
M00193,B032
M00194,B008
M00195,B047
M00196,B012
M00197,B052
M00198,B024
M00199,B036
M00200,B044
M00201,B023
M00202,B039
M00203,B091
M00204,B010
M00205,B042
M00206,B085
M00207,B084
M00208,B059
M00209,B020
M00210,B022
M00211,B044
M00212,B007
M00213,B022
M00214,B087
M00215,B068
M00216,B073
M00217,B023
M00218,B042
M00219,B048
M00220,B014
M00221,B035
M00222,B029
M00223,B094
M00224,B052
M00225,B057
M00226,B031
M00227,B002
M00228,B020
M00229,B061
M00230,B008
M00231,B067
M00232,B059
M00233,B100
M00234,B007
M00235,B035
M00236,B090
M00237,B013
M00238,B064
M00239,B046
M00240,B040
M00241,B078
M00242,B057
M00243,B040
M00244,B030
M00245,B099
M00246,B004
M00247,B038
M00248,B100
M00249,B064
M00250,B093
M00251,B010
M00252,B040
M00253,B012
M00254,B031
M00255,B022
M00256,B011
M00257,B081
M00258,B024
M00259,B028
M00260,B079
M00261,B034
M00262,B027
M00263,B084
M00264,B031
M00265,B023
M00266,B048
M00267,B006
M00268,B022
M00269,B009
M00270,B020
M00271,B048
M00272,B017
M00273,B081
M00274,B021
M00275,B016
M00276,B056
M00277,B064
M00278,B061
M00279,B009
M00280,B048
M00281,B003
M00282,B064
M00283,B056
M00284,B016
M00285,B011
M00286,B068
M00287,B064
M00288,B048
M00289,B099
M00290,B020
M00291,B029
M00292,B057
M00293,B071
M00294,B049
M00295,B043
M00296,B062
M00297,B071
M00298,B016
M00299,B064
M00300,B054
M00301,B076
M00302,B038
M00303,B018
M00304,B020
M00305,B021
M00306,B070
M00307,B023
M00308,B096
M00309,B046
M00310,B092
M00311,B060
M00312,B053
M00313,B088
M00314,B012
M00315,B009
M00316,B079
M00317,B058
M00318,B005
M00319,B024
M00320,B037
M00321,B044
M00322,B079
M00323,B012
M00324,B069
M00325,B053
M00326,B009
M00327,B028
M00328,B046
M00329,B044
M00330,B008
M00331,B032
M00332,B021
M00333,B054
M00334,B080
M00335,B050
M00336,B060
M00337,B028
M00338,B043
M00339,B074
M00340,B001
M00341,B059
M00342,B005
M00343,B034
M00344,B064
M00345,B048
M00346,B067
M00347,B068
M00348,B082
M00349,B007
M00350,B071
M00351,B073
M00352,B026
M00353,B092
M00354,B080
M00355,B062
M00356,B031
M00357,B015
M00358,B027
M00359,B040
M00360,B010
M00361,B052
M00362,B016
M00363,B053
M00364,B031
M00365,B007
M00366,B028
M00367,B067
M00368,B018
M00369,B094
M00370,B050
M00371,B020
M00372,B054
M00373,B064
M00374,B054
M00375,B092
M00376,B057
M00377,B019
M00378,B049
M00379,B091
M00380,B056
M00381,B050
M00382,B039
M00383,B074
M00384,B093
M00385,B045
M00386,B053
M00387,B067
M00388,B049
M00389,B017
M00390,B022
M00391,B082
M00392,B034
M00393,B013
M00394,B020
M00395,B066
M00396,B033
M00397,B061
M00398,B074
M00399,B019
M00400,B032
M00401,B010
M00402,B062
M00403,B093
M00404,B085
M00405,B004
M00406,B054
M00407,B003
M00408,B006
M00409,B002
M00410,B082
M00411,B048
M00412,B087
M00413,B093
M00414,B034
M00415,B073
M00416,B082
M00417,B004
M00418,B089
M00419,B041
M00420,B086
M00421,B038
M00422,B045
M00423,B073
M00424,B048
M00425,B070
M00426,B017
M00427,B099
M00428,B079
M00429,B067
M00430,B096
M00431,B005
M00432,B046
M00433,B021
M00434,B096
M00435,B055
M00436,B002
M00437,B088
M00438,B021
M00439,B006
M00440,B056
M00441,B043
M00442,B063
M00443,B060
M00444,B064
M00445,B090
M00446,B073
M00447,B059
M00448,B071
M00449,B063
M00450,B048
M00451,B067
M00452,B056
M00453,B007
M00454,B059
M00455,B092
M00456,B004
M00457,B060
M00458,B041
M00459,B067
M00460,B035
M00461,B022
M00462,B019
M00463,B008
M00464,B019
M00465,B089
M00466,B002
M00467,B019
M00468,B073
M00469,B090
M00470,B070
M00471,B046
M00472,B020
M00473,B076
M00474,B014
M00475,B066
M00476,B100
M00477,B002
M00478,B078
M00479,B006
M00480,B055
M00481,B003
M00482,B019
M00483,B029
M00484,B087
M00485,B057
M00486,B028
M00487,B011
M00488,B042
M00489,B087
M00490,B059
M00491,B009
M00492,B084
M00493,B035
M00494,B082
M00495,B032
M00496,B003
M00497,B042
M00498,B026
M00499,B049
M00500,B098
M00501,B059
M00502,B010
M00503,B078
M00504,B026
M00505,B064
M00506,B063
M00507,B077
M00508,B063
M00509,B061
M00510,B034
M00511,B040
M00512,B070
M00513,B052
M00514,B079
M00515,B047
M00516,B095
M00517,B041
M00518,B080
M00519,B066
M00520,B067
M00521,B018
M00522,B002
M00523,B097
M00524,B074
M00525,B100
M00526,B024
M00527,B014
M00528,B059
M00529,B035
M00530,B088
M00531,B058
M00532,B075
M00533,B098
M00534,B040
M00535,B087
M00536,B005
M00537,B029
M00538,B081
M00539,B051
M00540,B093
M00541,B037
M00542,B030
M00543,B048
M00544,B046
M00545,B038
M00546,B002
M00547,B088
M00548,B047
M00549,B028
M00550,B071
M00551,B012
M00552,B049
M00553,B021
M00554,B078
M00555,B092
M00556,B096
M00557,B016
M00558,B054
M00559,B093
M00560,B051
M00561,B048
M00562,B092
M00563,B010
M00564,B007
M00565,B050
M00566,B065
M00567,B020
M00568,B084
M00569,B060
M00570,B025
M00571,B084
M00572,B070
M00573,B018
M00574,B066
M00575,B042
M00576,B033
M00577,B042
M00578,B066
M00579,B019
M00580,B096
M00581,B003
M00582,B056
M00583,B003
M00584,B082
M00585,B011
M00586,B063
M00587,B086
M00588,B049
M00589,B076
M00590,B035
M00591,B049
M00592,B074
M00593,B054
M00594,B054
M00595,B053
M00596,B064
M00597,B078
M00598,B009
M00599,B049
M00600,B075
M00601,B054
M00602,B073
M00603,B041
M00604,B057
M00605,B078
M00606,B019
M00607,B048
M00608,B011
M00609,B049
M00610,B026
M00611,B009
M00612,B012
M00613,B034
M00614,B096
M00615,B089
M00616,B010
M00617,B029
M00618,B015
M00619,B072
M00620,B045
M00621,B074
M00622,B018
M00623,B091
M00624,B066
M00625,B051
M00626,B022
M00627,B087
M00628,B019
M00629,B049
M00630,B074
M00631,B007
M00632,B011
M00633,B078
