merchant_id,name,industry,risk_profile
M00001,XYZ Retailers,Travel,High
M00002,Global Retailers,Healthcare,Low
M00003,ABC Foods,Automotive,Low
M00004,XYZ Electronics,Electronics,Medium
M00005,Vertex Foods,Fashion,Medium
M00006,Metro Foods,Retail,Medium
M00007,Fresh Retailers,Technology,High
M00008,Prime Electronics,Education,Medium
M00009,Fresh Traders,Education,Low
M00010,Prime Store,Automotive,Low
M00011,Nova Traders,Technology,Low
M00012,NextGen Electronics,Electronics,High
M00013,Vertex Store,Finance,High
M00014,Fresh Electronics,Education,High
M00015,ABC Foods,Healthcare,High
M00016,Vertex Hub,Fashion,High
M00017,Elite Store,Food & Beverage,High
M00018,Vertex Hub,Fashion,High
M00019,XYZ Electronics,Healthcare,Medium
M00020,Elite Traders,Travel,Low
M00021,Nova World,Finance,Low
M00022,Nova Traders,Food & Beverage,Medium
M00023,Global Foods,Electronics,High
M00024,Global Solutions,Electronics,High
M00025,XYZ World,Healthcare,Low
M00026,Elite Foods,Fashion,Low
M00027,Elite World,Electronics,High
M00028,Global Retailers,Finance,Medium
M00029,Global Solutions,Technology,Medium
M00030,Elite Electronics,Education,Low
M00031,Elite Traders,Food & Beverage,Medium
M00032,Nova Traders,Finance,Medium
M00033,Fresh Retailers,Food & Beverage,Medium
M00034,Vertex Hub,Finance,High
M00035,Vertex Electronics,Travel,Low
M00036,ABC Store,Retail,High
M00037,Metro Foods,Automotive,Medium
M00038,ABC Hub,Electronics,High
M00039,Nova Electronics,Food & Beverage,Low
M00040,Metro World,Fashion,Low
M00041,Vertex Store,Technology,Low
M00042,Metro Retailers,Technology,Low
M00043,Elite World,Automotive,Low
M00044,Vertex World,Healthcare,Medium
M00045,XYZ Store,Healthcare,High
M00046,Vertex Solutions,Fashion,Medium
M00047,Fresh Traders,Healthcare,High
M00048,Elite Electronics,Travel,Low
M00049,Prime Solutions,Fashion,High
M00050,Fresh Solutions,Technology,Low
M00051,Elite Retailers,Retail,Low
M00052,Fresh Traders,Retail,Medium
M00053,Vertex Mart,Travel,Low
M00054,Prime Services,Finance,Low
M00055,NextGen Solutions,Healthcare,Low
M00056,XYZ Traders,Finance,Low
M00057,ABC Store,Healthcare,Medium
M00058,NextGen Solutions,Finance,Medium
M00059,XYZ Services,Finance,High
M00060,XYZ Retailers,Fashion,Low
M00061,NextGen Foods,Travel,High
M00062,XYZ Services,Healthcare,Low
M00063,Global World,Finance,High
M00064,Global Foods,Education,High
M00065,Elite Traders,Retail,Medium
M00066,Elite World,Education,Low
M00067,Prime Services,Travel,High
M00068,XYZ Services,Automotive,Medium
M00069,Vertex Foods,Education,Low
M00070,Nova Foods,Finance,Medium
M00071,Vertex Traders,Food & Beverage,High
M00072,Metro Traders,Fashion,Medium
M00073,Nova Foods,Retail,Low
M00074,ABC Mart,Finance,Low
M00075,Vertex Mart,Healthcare,Medium
M00076,NextGen Store,Technology,Low
M00077,Fresh Electronics,Retail,Low
M00078,Metro Solutions,Food & Beverage,Medium
M00079,Elite Solutions,Automotive,Medium
M00080,Prime Mart,Fashion,Low
M00081,Elite Traders,Food & Beverage,Medium
M00082,Global Hub,Technology,Medium
M00083,Prime Retailers,Travel,Low
M00084,ABC Hub,Retail,High
M00085,Metro Mart,Education,Low
M00086,Global Solutions,Electronics,Low
M00087,Nova World,Education,Low
M00088,Vertex Services,Electronics,Low
M00089,Fresh Traders,Technology,High
M00090,Nova Retailers,Food & Beverage,High
M00091,NextGen Retailers,Retail,High
M00092,Vertex Foods,Food & Beverage,High
M00093,Elite World,Automotive,High
M00094,XYZ Traders,Automotive,Low
M00095,Nova Services,Technology,High
M00096,Fresh Hub,Healthcare,High
M00097,Global Solutions,Healthcare,Low
M00098,Nova Electronics,Education,Medium
M00099,Nova Store,Education,Low
M00100,XYZ Services,Finance,Medium
M00101,Global Foods,Electronics,Low
M00102,XYZ Mart,Electronics,Low
M00103,Nova Services,Finance,Low
M00104,Global Foods,Automotive,High
M00105,Elite Traders,Technology,Low
M00106,Metro World,Retail,Medium
M00107,XYZ Retailers,Electronics,Medium
M00108,Elite Foods,Technology,Low
M00109,Prime Electronics,Electronics,Low
M00110,Elite Hub,Food & Beverage,Low
M00111,Fresh Hub,Retail,High
M00112,Metro Solutions,Travel,High
M00113,ABC Electronics,Travel,Medium
M00114,NextGen Electronics,Healthcare,Low
M00115,NextGen Electronics,Automotive,Low
M00116,Elite Services,Travel,Low
M00117,NextGen Solutions,Education,Low
M00118,NextGen Electronics,Healthcare,Low
M00119,Global Store,Travel,Low
M00120,Metro Solutions,Travel,High
M00121,Prime Foods,Finance,High
M00122,ABC Foods,Electronics,Medium
M00123,Nova Retailers,Fashion,Low
M00124,Fresh Services,Retail,Medium
M00125,Prime Retailers,Retail,Medium
M00126,ABC Traders,Automotive,Low
M00127,ABC Traders,Retail,High
M00128,ABC Hub,Education,High
M00129,Elite Store,Food & Beverage,Medium
M00130,ABC Mart,Technology,Low
M00131,NextGen Foods,Finance,Medium
M00132,NextGen Services,Travel,High
M00133,ABC Solutions,Automotive,Low
M00134,Fresh Hub,Food & Beverage,Low
M00135,ABC Retailers,Travel,Low
M00136,Global Solutions,Travel,Medium
M00137,Prime Electronics,Retail,Medium
M00138,Metro Hub,Healthcare,Low
M00139,Metro Electronics,Finance,Low
M00140,XYZ Services,Technology,Medium
M00141,XYZ Services,Travel,High
M00142,Fresh World,Healthcare,Medium
M00143,NextGen Retailers,Electronics,Low
M00144,Global Solutions,Travel,High
M00145,Vertex Foods,Travel,Medium
M00146,Fresh Solutions,Travel,High
M00147,Elite Foods,Automotive,Low
M00148,Elite Retailers,Technology,Medium
M00149,Prime Traders,Education,High
M00150,NextGen Traders,Education,Medium
M00151,XYZ Traders,Technology,High
M00152,Nova Electronics,Technology,Medium
M00153,Prime Hub,Education,Medium
M00154,Global Retailers,Technology,High
M00155,NextGen Foods,Fashion,Medium
M00156,Prime Hub,Healthcare,Medium
M00157,Prime Hub,Retail,Medium
M00158,XYZ World,Retail,Low
M00159,ABC Foods,Technology,Low
M00160,ABC Foods,Automotive,Low
M00161,Elite Solutions,Fashion,Medium
