merchant_id,gateway_id
M00001,PG011
M00002,PG003
M00003,PG014
M00004,PG004
M00005,PG014
M00006,PG005
M00007,PG001
M00008,PG009
M00009,PG015
M00010,PG007
M00011,PG012
M00012,PG006
M00013,PG001
M00014,PG015
M00015,PG013
M00016,PG003
M00017,PG013
M00018,PG003
M00019,PG008
M00020,PG002
M00021,PG009
M00022,PG005
M00023,PG009
M00024,PG001
M00025,PG001
M00026,PG013
M00027,PG013
M00028,PG008
M00029,PG006
M00030,PG008
M00031,PG006
M00032,PG011
M00033,PG013
M00034,PG008
M00035,PG015
M00036,PG012
M00037,PG007
M00038,PG015
M00039,PG014
M00040,PG006
M00041,PG013
M00042,PG002
M00043,PG010
M00044,PG003
M00045,PG008
M00046,PG007
M00047,PG013
M00048,PG008
M00049,PG009
M00050,PG002
M00051,PG002
M00052,PG009
M00053,PG005
M00054,PG009
M00055,PG010
M00056,PG013
M00057,PG002
M00058,PG012
M00059,PG014
M00060,PG005
M00061,PG013
M00062,PG005
M00063,PG014
M00064,PG009
M00065,PG003
M00066,PG008
M00067,PG008
M00068,PG013
M00069,PG006
M00070,PG013
M00071,PG003
M00072,PG015
M00073,PG011
M00074,PG009
M00075,PG003
M00076,PG015
M00077,PG009
M00078,PG002
M00079,PG006
M00080,PG009
M00081,PG014
M00082,PG011
M00083,PG015
M00084,PG005
M00085,PG010
M00086,PG012
M00087,PG006
M00088,PG001
M00089,PG008
M00090,PG011
M00091,PG006
M00092,PG002
M00093,PG009
M00094,PG002
M00095,PG002
M00096,PG003
M00097,PG015
M00098,PG004
M00099,PG006
M00100,PG004
M00101,PG006
M00102,PG003
M00103,PG011
M00104,PG003
M00105,PG013
M00106,PG002
M00107,PG005
M00108,PG010
M00109,PG010
M00110,PG006
M00111,PG001
M00112,PG009
M00113,PG011
M00114,PG005
M00115,PG010
M00116,PG010
M00117,PG004
M00118,PG008
M00119,PG003
M00120,PG015
M00121,PG005
M00122,PG006
M00123,PG010
M00124,PG007
M00125,PG008
M00126,PG013
M00127,PG010
M00128,PG007
M00129,PG010
M00130,PG014
M00131,PG003
M00132,PG011
M00133,PG013
M00134,PG007
M00135,PG010
M00136,PG004
M00137,PG013
M00138,PG014
M00139,PG012
M00140,PG007
M00141,PG007
M00142,PG006
M00143,PG005
M00144,PG008
M00145,PG015
M00146,PG014
M00147,PG012
M00148,PG008
M00149,PG010
M00150,PG012
M00151,PG013
M00152,PG012
M00153,PG006
M00154,PG014
M00155,PG007
M00156,PG002
M00157,PG013
M00158,PG010
M00159,PG007
M00160,PG004
M00161,PG009
M00162,PG007
M00163,PG014
M00164,PG005
M00165,PG009
M00166,PG014
M00167,PG009
M00168,PG001
