merchant_id,industry_id
M00001,I006
M00002,I003
M00003,I009
M00004,I002
M00005,I008
M00006,I001
M00007,I010
M00008,I007
M00009,I007
M00010,I009
M00011,I010
M00012,I002
M00013,I004
M00014,I007
M00015,I003
M00016,I008
M00017,I005
M00018,I008
M00019,I003
M00020,I006
M00021,I004
M00022,I005
M00023,I002
M00024,I002
M00025,I003
M00026,I008
M00027,I002
M00028,I004
M00029,I010
M00030,I007
M00031,I005
M00032,I004
M00033,I005
M00034,I004
M00035,I006
M00036,I001
M00037,I009
M00038,I002
M00039,I005
M00040,I008
M00041,I010
M00042,I010
M00043,I009
M00044,I003
M00045,I003
M00046,I008
M00047,I003
M00048,I006
M00049,I008
M00050,I010
M00051,I001
M00052,I001
M00053,I006
M00054,I004
M00055,I003
M00056,I004
M00057,I003
M00058,I004
M00059,I004
M00060,I008
M00061,I006
M00062,I003
M00063,I004
M00064,I007
M00065,I001
M00066,I007
M00067,I006
M00068,I009
M00069,I007
M00070,I004
M00071,I005
M00072,I008
M00073,I001
M00074,I004
M00075,I003
M00076,I010
M00077,I001
M00078,I005
M00079,I009
M00080,I008
M00081,I005
M00082,I010
M00083,I006
M00084,I001
M00085,I007
M00086,I002
M00087,I007
M00088,I002
M00089,I010
M00090,I005
M00091,I001
M00092,I005
M00093,I009
M00094,I009
M00095,I010
M00096,I003
M00097,I003
M00098,I007
M00099,I007
M00100,I004
M00101,I002
M00102,I002
M00103,I004
M00104,I009
M00105,I010
M00106,I001
M00107,I002
M00108,I010
M00109,I002
M00110,I005
M00111,I001
M00112,I006
M00113,I006
M00114,I003
M00115,I009
M00116,I006
M00117,I007
M00118,I003
M00119,I006
M00120,I006
M00121,I004
M00122,I002
M00123,I008
M00124,I001
M00125,I001
M00126,I009
M00127,I001
M00128,I007
M00129,I005
M00130,I010
M00131,I004
M00132,I006
M00133,I009
M00134,I005
M00135,I006
M00136,I006
M00137,I001
M00138,I003
M00139,I004
M00140,I010
M00141,I006
M00142,I003
M00143,I002
M00144,I006
M00145,I006
M00146,I006
M00147,I009
M00148,I010
M00149,I007
M00150,I007
M00151,I010
M00152,I010
M00153,I007
M00154,I010
M00155,I008
M00156,I003
M00157,I001
M00158,I001
M00159,I010
M00160,I009
M00161,I008
M00162,I008
M00163,I010
M00164,I009
M00165,I002
M00166,I007
M00167,I001
M00168,I001
M00169,I004
M00170,I004
M00171,I009
M00172,I002
M00173,I008
M00174,I010
M00175,I002
M00176,I002
M00177,I007
M00178,I003
M00179,I002
M00180,I007
M00181,I004
M00182,I002
M00183,I001
M00184,I001
M00185,I009
M00186,I007
M00187,I002
M00188,I001
M00189,I001
M00190,I001
M00191,I007
M00192,I008
M00193,I004
M00194,I002
M00195,I007
M00196,I010
M00197,I009
M00198,I006
