merchant_id,risk_id
M00001,R003
M00002,R001
M00003,R001
M00004,R002
M00005,R002
M00006,R002
M00007,R003
M00008,R002
M00009,R001
M00010,R001
M00011,R001
M00012,R003
M00013,R003
M00014,R003
M00015,R003
M00016,R003
M00017,R003
M00018,R003
M00019,R002
M00020,R001
M00021,R001
M00022,R002
M00023,R003
M00024,R003
M00025,R001
M00026,R001
M00027,R003
M00028,R002
M00029,R002
M00030,R001
M00031,R002
M00032,R002
M00033,R002
M00034,R003
M00035,R001
M00036,R003
M00037,R002
M00038,R003
M00039,R001
M00040,R001
M00041,R001
M00042,R001
M00043,R001
M00044,R002
M00045,R003
M00046,R002
M00047,R003
M00048,R001
M00049,R003
M00050,R001
M00051,R001
M00052,R002
M00053,R001
M00054,R001
M00055,R001
M00056,R001
M00057,R002
M00058,R002
M00059,R003
M00060,R001
M00061,R003
M00062,R001
M00063,R003
M00064,R003
M00065,R002
M00066,R001
M00067,R003
M00068,R002
M00069,R001
M00070,R002
M00071,R003
M00072,R002
M00073,R001
M00074,R001
M00075,R002
M00076,R001
M00077,R001
M00078,R002
M00079,R002
M00080,R001
M00081,R002
M00082,R002
M00083,R001
M00084,R003
M00085,R001
M00086,R001
M00087,R001
M00088,R001
M00089,R003
M00090,R003
M00091,R003
M00092,R003
M00093,R003
M00094,R001
M00095,R003
M00096,R003
M00097,R001
M00098,R002
M00099,R001
M00100,R002
M00101,R001
M00102,R001
M00103,R001
M00104,R003
M00105,R001
M00106,R002
M00107,R002
M00108,R001
M00109,R001
M00110,R001
M00111,R003
M00112,R003
M00113,R002
M00114,R001
M00115,R001
M00116,R001
M00117,R001
M00118,R001
M00119,R001
M00120,R003
M00121,R003
M00122,R002
M00123,R001
M00124,R002
M00125,R002
M00126,R001
M00127,R003
M00128,R003
M00129,R002
M00130,R001
M00131,R002
M00132,R003
M00133,R001
M00134,R001
M00135,R001
M00136,R002
M00137,R002
M00138,R001
M00139,R001
M00140,R002
M00141,R003
M00142,R002
M00143,R001
M00144,R003
M00145,R002
M00146,R003
M00147,R001
M00148,R002
M00149,R003
M00150,R002
